project_id,project_type,client_type,contract_type,is_design_and_build,nilai_kontrak_awal_miliar_rp,total_jam_kerja_estimasi,volume_pekerjaan_tanah_m3,volume_beton_m3,berat_baja_struktural_ton,panjang_instalasi_utama_km,jumlah_titik_akhir_instalasi,jumlah_item_pekerjaan_utama,tingkat_risiko_geoteknik,lokasi_provinsi,lokasi_urban_rural,musim_pelaksanaan,indeks_harga_komoditas_saat_mulai,jumlah_kompetitor_saat_tender,pengalaman_pm_tahun,jumlah_sdm_inti,persentase_subkontraktor,biaya_akhir_riil_miliar_rp,durasi_akhir_riil_hari,profit_margin_riil_persen,terjadi_pembengkakan_biaya_signifikan,terjadi_keterlambatan_signifikan
PJ-100,Perumahan,BUMN,Lump Sum,1,67.0,268005,33500,16750,0,0.0,1675,39,2,Kalimantan Timur,Urban,Hujan,100.54,4,21,14,50,67.0,3263,0.0,1,0
PJ-101,Jalan Tol,Swasta Asing,Lump Sum,0,2322.37,4644734,6967101,464473,23223,58.06,0,1157,2,Kalimantan Timur,Urban,Hujan,109.77,8,22,234,38,2364.39,3383,-1.81,1,0
PJ-102,Jalan Tol,BUMN,Cost Plus,0,2089.79,4179571,6269356,417957,20897,52.24,0,1041,3,Kalimantan Timur,Sub-urban,Kemarau,104.01,9,4,211,40,1865.88,4611,10.71,0,1
PJ-103,Jaringan IT,Swasta Asing,Cost Plus,0,38.56,192819,0,0,0,57.85,1928,1,3,Papua Selatan,Rural,Kemarau,110.14,6,11,12,62,40.83,2738,-5.87,1,0
PJ-104,Perumahan,Swasta Nasional,Cost Plus,0,114.27,457083,57135,28567,0,0.0,2856,52,1,Lampung,Sub-urban,Hujan,101.13,5,18,26,38,102.03,2996,10.71,0,0
PJ-105,Jalan Tol,Swasta Nasional,Lump Sum,0,2613.45,5226899,7840349,522689,26134,65.34,0,1308,5,Sumatera Utara,Rural,Kemarau,115.05,8,24,263,50,3077.11,4213,-17.74,1,1
PJ-106,Perumahan,Pemda,Cost Plus,0,186.65,746589,93323,46661,0,0.0,4666,91,3,Kepulauan Riau,Rural,Kemarau,105.98,7,18,38,66,166.65,3348,10.71,0,0
PJ-107,Gedung Perkantoran,Pemda,Cost Plus,0,216.38,649139,0,21637,4327,0.0,4327,110,2,Sumatera Utara,Urban,Kemarau,108.04,7,8,35,28,241.49,3161,-11.61,1,0
PJ-108,Gedung Perkantoran,Pemda,Harga Satuan,0,190.81,572416,0,19080,3816,0.0,3816,95,1,Kalimantan Timur,Rural,Kemarau,107.36,4,10,29,25,170.36,3364,10.71,0,0
PJ-109,Gedung Perkantoran,Swasta Nasional,Lump Sum,0,164.81,494420,0,16480,3296,0.0,3296,101,2,Kalimantan Selatan,Urban,Kemarau,114.42,5,9,25,17,147.15,3371,10.71,0,0
PJ-110,Jaringan IT,Swasta Asing,Lump Sum,0,26.63,133131,0,0,0,39.94,1331,-7,1,Sumatera Selatan,Rural,Kemarau,108.07,9,19,10,51,23.77,2269,10.71,0,0
PJ-111,Perumahan,Swasta Nasional,Cost Plus,0,91.37,365478,45684,22842,0,0.0,2284,44,3,Riau,Rural,Hujan,114.03,9,24,19,45,92.34,3278,-1.06,1,0
PJ-112,Gedung Perkantoran,BUMN,Cost Plus,0,57.58,172725,0,5757,1151,0.0,1151,28,2,Jawa Timur,Rural,Hujan,112.9,3,14,12,23,51.41,2453,10.71,0,0
PJ-113,Jaringan IT,Swasta Nasional,Lump Sum,0,62.74,313684,0,0,0,94.11,3136,18,2,Sulawesi Selatan,Rural,Kemarau,109.72,3,10,18,19,56.02,2970,10.71,0,0
PJ-114,Jaringan IT,Swasta Nasional,Harga Satuan,0,71.47,357352,0,0,0,107.21,3573,22,2,Banten,Urban,Hujan,101.85,9,13,18,29,63.81,3893,10.71,0,1
PJ-115,Jaringan IT,Swasta Asing,Cost Plus,0,92.63,463134,0,0,0,138.94,4631,58,1,Papua Tengah,Urban,Hujan,100.17,6,16,24,63,111.19,3289,-20.04,1,0
PJ-116,Jalan Tol,Swasta Nasional,Harga Satuan,0,2899.58,5799168,8698752,579916,28995,72.49,0,1429,2,Bali,Rural,Hujan,112.18,3,6,293,55,3479.22,3769,-19.99,1,1
PJ-117,Jaringan IT,Swasta Asing,Cost Plus,0,64.04,320205,0,0,0,96.06,3202,39,1,Papua Pegunungan,Urban,Kemarau,104.55,4,13,18,55,57.18,3032,10.71,0,0
PJ-118,Perumahan,BUMN,Lump Sum,1,121.03,484107,60513,30256,0,0.0,3025,70,3,Sulawesi Barat,Urban,Hujan,112.64,3,8,28,75,137.38,2947,-13.51,1,0
PJ-119,Jalan Tol,Pemda,Harga Satuan,0,1078.56,2157115,3235672,215711,10785,26.96,0,538,3,Jawa Tengah,Rural,Hujan,117.25,2,10,109,40,963.0,3373,10.71,0,0
PJ-120,Perumahan,Swasta Nasional,Cost Plus,0,100.33,401319,50164,25082,0,0.0,2508,64,2,Bali,Sub-urban,Kemarau,114.42,4,10,23,18,89.58,4044,10.71,0,1
PJ-121,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,196.12,588372,0,19612,3922,0.0,3922,96,1,Kalimantan Selatan,Rural,Hujan,105.06,3,19,31,77,218.26,3588,-11.29,1,1
PJ-122,Jaringan IT,Swasta Nasional,Harga Satuan,0,16.45,82266,0,0,0,24.68,822,-12,2,Kalimantan Timur,Urban,Hujan,111.97,7,3,6,14,17.96,2792,-9.18,1,1
PJ-123,Gedung Perkantoran,BUMN,Cost Plus,0,204.01,612023,0,20400,4080,0.0,4080,87,1,DKI Jakarta,Sub-urban,Hujan,108.12,2,3,31,40,182.15,3365,10.71,0,0
PJ-124,Perumahan,BUMN,Lump Sum,0,111.86,447433,55929,27964,0,0.0,2796,64,3,Sumatera Utara,Rural,Kemarau,118.74,6,9,26,33,99.87,2933,10.71,0,0
PJ-125,Perumahan,BUMN,Lump Sum,0,107.09,428369,53546,26773,0,0.0,2677,52,2,Lampung,Sub-urban,Kemarau,104.58,4,19,24,21,95.62,3042,10.71,0,0
PJ-126,Gedung Perkantoran,BUMN,Cost Plus,0,284.11,852337,0,28411,5682,0.0,5682,138,1,Papua Selatan,Rural,Kemarau,112.18,7,9,43,40,253.67,3378,10.71,0,0
PJ-127,Jaringan IT,BUMN,Harga Satuan,0,46.94,234709,0,0,0,70.41,2347,38,1,Sulawesi Barat,Urban,Hujan,118.14,2,11,12,41,41.91,3742,10.71,0,1
PJ-128,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,133.64,400908,0,13363,2672,0.0,2672,66,1,Jawa Barat,Rural,Kemarau,119.28,8,13,24,25,119.32,2847,10.71,0,0
PJ-129,Perumahan,Swasta Asing,Cost Plus,0,83.02,332073,41509,20754,0,0.0,2075,24,2,Sulawesi Selatan,Sub-urban,Kemarau,115.14,7,4,17,47,74.12,3329,10.71,0,0
PJ-130,Perumahan,Pemda,Harga Satuan,0,101.72,406874,50859,25429,0,0.0,2542,49,1,Jawa Tengah,Sub-urban,Kemarau,115.64,6,13,21,69,90.82,3302,10.71,0,0
PJ-131,Gedung Perkantoran,BUMN,Harga Satuan,0,176.27,528819,0,17627,3525,0.0,3525,102,2,Papua Barat,Sub-urban,Kemarau,112.71,7,12,27,54,157.39,3338,10.71,0,0
PJ-132,Jalan Tol,Swasta Asing,Harga Satuan,0,2551.82,5103633,7655449,510363,25518,63.8,0,1286,3,Sulawesi Utara,Rural,Kemarau,107.19,5,6,258,65,2721.53,4109,-6.65,1,1
PJ-133,Gedung Perkantoran,Pemda,Cost Plus,0,283.54,850612,0,28353,5670,0.0,5670,136,2,Papua Selatan,Rural,Kemarau,112.07,3,17,45,28,253.16,3222,10.71,0,0
PJ-134,Jembatan,BUMN,Lump Sum,1,571.94,1143883,1715824,114388,5719,14.3,0,286,5,DKI Jakarta,Sub-urban,Hujan,106.29,8,17,59,13,667.59,3304,-16.72,1,0
PJ-135,Jaringan IT,BUMN,Harga Satuan,0,89.93,449658,0,0,0,134.9,4496,34,3,Riau,Sub-urban,Kemarau,113.9,2,14,26,23,80.3,2947,10.71,0,0
PJ-136,Jaringan IT,BUMN,Lump Sum,0,10.21,51031,0,0,0,15.31,510,3,2,Papua Barat Daya,Rural,Hujan,106.79,2,24,4,47,11.46,2174,-12.26,1,0
PJ-137,Perumahan,Swasta Asing,Cost Plus,0,201.73,806922,100865,50432,0,0.0,5043,95,1,Kalimantan Selatan,Rural,Kemarau,109.39,7,7,43,53,180.12,3198,10.71,0,0
PJ-138,Perumahan,Swasta Nasional,Lump Sum,1,195.23,780937,97617,48808,0,0.0,4880,113,2,Nusa Tenggara Barat,Sub-urban,Hujan,112.27,3,9,42,12,174.32,3169,10.71,0,0
PJ-139,Jaringan IT,BUMN,Harga Satuan,0,17.12,85586,0,0,0,25.68,855,-7,2,Riau,Rural,Hujan,117.57,8,7,6,70,15.28,2951,10.71,0,1
PJ-140,Perumahan,Swasta Asing,Cost Plus,0,249.78,999117,124889,62444,0,0.0,6244,142,1,Lampung,Sub-urban,Kemarau,115.4,8,24,53,39,223.02,3213,10.71,0,0
PJ-141,Jaringan IT,Pemda,Cost Plus,0,93.39,466971,0,0,0,140.09,4669,35,3,Lampung,Sub-urban,Kemarau,106.29,8,24,25,42,83.39,3183,10.71,0,0
PJ-142,Gedung Perkantoran,BUMN,Cost Plus,0,109.16,327488,0,10916,2183,0.0,2183,66,3,Papua Barat Daya,Urban,Hujan,113.83,4,10,19,75,122.38,3908,-12.1,1,1
PJ-143,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,298.3,894900,0,29830,5966,0.0,5966,129,2,Papua Barat,Urban,Kemarau,104.31,7,20,47,40,266.34,3245,10.71,0,0
PJ-144,Jaringan IT,Pemda,Lump Sum,1,68.76,343801,0,0,0,103.14,3438,27,1,Kepulauan Riau,Sub-urban,Hujan,100.22,6,14,18,71,61.39,4290,10.71,0,1
PJ-145,Perumahan,BUMN,Lump Sum,0,105.82,423266,52908,26454,0,0.0,2645,66,2,Sulawesi Tenggara,Rural,Kemarau,102.31,6,13,24,51,94.48,3006,10.71,0,0
PJ-146,Gedung Perkantoran,BUMN,Harga Satuan,0,141.92,425749,0,14191,2838,0.0,2838,54,3,Sulawesi Selatan,Sub-urban,Hujan,113.69,2,18,24,10,126.71,3023,10.71,0,0
PJ-147,Jalan Tol,Swasta Asing,Cost Plus,0,1492.88,2985755,4478632,298575,14928,37.32,0,731,4,Papua Selatan,Rural,Kemarau,115.65,9,18,153,35,1661.99,3326,-11.33,1,0
PJ-148,Jaringan IT,Swasta Nasional,Cost Plus,0,76.44,382220,0,0,0,114.67,3822,36,3,Papua Barat Daya,Sub-urban,Hujan,100.66,6,5,21,42,68.25,4268,10.71,0,1
PJ-149,Jaringan IT,Swasta Nasional,Lump Sum,1,68.46,342316,0,0,0,102.69,3423,32,3,Kalimantan Selatan,Rural,Hujan,100.49,6,5,21,39,61.13,3132,10.71,0,1
PJ-150,Perumahan,BUMN,Lump Sum,1,68.55,274209,34276,17138,0,0.0,1713,26,1,Kalimantan Tengah,Rural,Hujan,112.57,9,11,15,77,61.21,3771,10.71,0,1
PJ-151,Perumahan,BUMN,Lump Sum,1,199.16,796647,99580,49790,0,0.0,4979,92,1,Papua Selatan,Sub-urban,Hujan,113.82,7,10,41,41,215.55,4420,-8.23,1,1
PJ-152,Jalan Tol,Swasta Nasional,Lump Sum,1,1485.89,2971780,4457670,297178,14858,37.15,0,741,1,Jawa Tengah,Rural,Hujan,100.61,2,17,151,72,1326.69,3354,10.71,0,0
PJ-153,Jalan Tol,Swasta Asing,Cost Plus,0,1233.77,2467533,3701300,246753,12337,30.84,0,605,5,Nusa Tenggara Timur,Rural,Kemarau,118.5,6,8,126,42,1264.74,3338,-2.51,1,0
PJ-154,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,126.81,380440,0,12681,2536,0.0,2536,68,2,DKI Jakarta,Urban,Kemarau,113.08,3,7,21,39,139.14,3087,-9.72,1,0
PJ-155,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,101.05,303146,0,10104,2020,0.0,2020,46,2,Maluku,Rural,Kemarau,101.52,9,12,18,65,90.22,2870,10.71,0,0
PJ-156,Jaringan IT,Swasta Nasional,Cost Plus,0,13.54,67693,0,0,0,20.31,676,-14,2,Sumatera Barat,Rural,Hujan,111.94,8,23,4,50,12.09,3648,10.71,0,1
PJ-157,Gedung Perkantoran,Pemda,Cost Plus,0,88.79,266384,0,8879,1775,0.0,1775,43,3,Sulawesi Utara,Rural,Kemarau,110.18,2,19,15,54,79.28,3403,10.71,0,1
PJ-158,Jaringan IT,Swasta Nasional,Lump Sum,0,46.38,231923,0,0,0,69.58,2319,24,2,Jawa Tengah,Sub-urban,Kemarau,114.41,3,9,13,29,41.41,3040,10.71,0,0
PJ-159,Jaringan IT,Swasta Nasional,Cost Plus,0,30.09,150434,0,0,0,45.13,1504,21,1,Kepulauan Bangka Belitung,Sub-urban,Kemarau,100.41,4,15,9,48,26.86,2849,10.71,0,0
PJ-160,Gedung Perkantoran,Pemda,Cost Plus,0,282.77,848302,0,28276,5655,0.0,5655,151,1,Jawa Barat,Urban,Kemarau,105.35,8,7,46,35,252.47,3143,10.71,0,0
PJ-161,Jaringan IT,BUMN,Cost Plus,0,73.51,367535,0,0,0,110.26,3675,49,1,Sulawesi Selatan,Sub-urban,Kemarau,116.81,9,24,22,77,65.63,2847,10.71,0,0
PJ-162,Jaringan IT,BUMN,Cost Plus,0,18.07,90337,0,0,0,27.1,903,28,2,Sumatera Utara,Rural,Kemarau,106.88,7,6,5,25,18.43,3079,-1.99,1,0
PJ-163,Perumahan,Pemda,Cost Plus,0,76.39,305555,38194,19097,0,0.0,1909,52,2,Maluku Utara,Urban,Kemarau,114.51,6,24,17,49,68.2,3063,10.71,0,0
PJ-164,Perumahan,Swasta Nasional,Cost Plus,0,82.1,328393,41049,20524,0,0.0,2052,23,3,Jawa Timur,Urban,Kemarau,119.13,5,22,18,75,85.85,3109,-4.57,1,0
PJ-165,Gedung Perkantoran,Swasta Asing,Lump Sum,1,151.97,455917,0,15197,3039,0.0,3039,89,1,Sulawesi Utara,Rural,Hujan,114.4,3,22,23,50,135.69,3378,10.71,0,0
PJ-166,Jalan Tol,Swasta Nasional,Cost Plus,0,2049.02,4098042,6147063,409804,20490,51.23,0,1016,1,Sulawesi Tengah,Rural,Kemarau,118.23,6,3,207,34,2053.59,3374,-0.22,1,0
PJ-167,Perumahan,Pemda,Lump Sum,0,173.98,695905,86988,43494,0,0.0,4349,91,1,Gorontalo,Sub-urban,Hujan,106.57,8,16,36,36,155.34,3704,10.71,0,1
PJ-168,Jaringan IT,Pemda,Lump Sum,1,68.61,343045,0,0,0,102.91,3430,43,1,Nusa Tenggara Timur,Sub-urban,Kemarau,100.32,6,19,18,32,61.26,3248,10.71,0,0
PJ-169,Pabrik,Pemda,Harga Satuan,0,252.59,631464,0,37887,10103,0.0,0,121,1,Papua,Urban,Kemarau,103.02,8,4,32,52,225.52,3363,10.71,0,0
PJ-170,Jaringan IT,BUMN,Harga Satuan,0,68.55,342770,0,0,0,102.83,3427,44,2,Kalimantan Timur,Sub-urban,Kemarau,111.15,4,7,21,44,61.21,3092,10.71,0,1
PJ-171,Jalan Tol,BUMN,Harga Satuan,0,2250.63,4501267,6751900,450126,22506,56.27,0,1113,1,Papua Pegunungan,Urban,Kemarau,102.31,4,20,229,51,2009.49,3350,10.71,0,0
